ch freq
0000001010001 1
0100000000000 1
0011000000000 1
0001010000101 1
0001100000000 1
1000000000001 1
0001000000000 1
0000110000000 1
0000000011000 1
0000000010001 1
0100100000000 1
0100000010000 1
0000100000000 1
0000100000000 1
0000100011000 1
0000100000000 1
0000100000100 1
0000000100000 1
0000000000010 1
0000000100001 1
0000100000000 1
0010000000000 1
0000000100000 1
0000000000010 1
0100000000000 1
0000010000000 1
1100000000000 1
0100100000000 1
0100000000000 1
0010000010000 1
0001000000000 1
0000100000010 1
0000100000001 1
0000110000001 1
0000110000000 1
0000010000000 1
0000010000000 1
0000010000000 1
0000000001000 1
0110000000000 1
0000000000010 1
0000000000010 1
0000000000100 1
0000110100000 1
0000110100000 1
0000000001100 1
0000000001000 1
0000100000000 1
0000000100000 1
0000001000000 1
0000000001100 1
0000010111000 1
0000001000000 1
1000000010000 1
0000000100000 1
0000000100000 1
0000000100000 1
0000001000000 1
0000000000001 1
0000000000010 1
0000100000000 1
0000000000010 1
0000100000000 1
0000100000000 1
0000000000010 1
0000000000010 1
0000000000100 1
0100010000000 1
0000100000000 1
1000110000010 1
0000100000000 1
0000001010001 1
0000001010001 1
0000000000001 1
0000000000001 1
0000100101010 1
